company_name,company_ticker,entity_name,company_cik,2022,2021,2020
1-800-FLOWERS.COM CL A,FLWS,1 800 FLOWERS COM INC (FLWS),0001084869,https://www.sec.gov/Archives/edgar/data/1084869/000143774922022580/flws20220626_10k.htm,https://www.sec.gov/Archives/edgar/data/1084869/000143774921021879/flws20210627_10k.htm,https://www.sec.gov/Archives/edgar/data/1084869/000143774920019622/flws20200628b_10k.htm
10X GENOMICS,TXG,"10x Genomics, Inc. (TXG)",0001770787,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000015/txg-20211231.htm,https://www.sec.gov/Archives/edgar/data/1770787/000177078721000009/txg-20201231.htm,https://www.sec.gov/Archives/edgar/data/1770787/000119312520052640/d849320d10k.htm
1LIFE HEALTHCARE,ONEM,1Life Healthcare Inc,0001404123,https://www.sec.gov/Archives/edgar/data/1404123/000140412322000010/onem-20211231.htm,https://www.sec.gov/Archives/edgar/data/1404123/000156459021013897/onem-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1404123/000156459020013666/onem-10k_20191231.htm
1ST SOURCE,SRCE,1ST SOURCE CORP (SRCE),0000034782,https://www.sec.gov/Archives/edgar/data/34782/000003478222000038/source-20211231.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478221000036/source-20201231.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478220000035/sce-20191231x10k.htm
1STDIBS.COM,DIBS,"1stdibs.com, Inc. (DIBS)",0001600641,https://www.sec.gov/Archives/edgar/data/1600641/000160064122000023/dibs-20211231.htm,,
22ND CENTURY GROUP INC.,XXII,"22nd Century Group, Inc. (XXII)",0001347858,https://www.sec.gov/Archives/edgar/data/1347858/000155837022002452/xxii-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1347858/000155837021002771/xxii-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1347858/000110465920031934/tm2053191_10k.htm
23ANDME HOLDING CO,ME,23andMe Holding Co. (ME),0001804591,https://www.sec.gov/Archives/edgar/data/1804591/000095017022010852/me-20220331.htm,https://www.sec.gov/Archives/edgar/data/1804591/000119312521092793/d119190d10k.htm,
2SEVENTY BIO,TSVT,"2seventy bio, Inc. (TSVT)",0001860782,https://www.sec.gov/Archives/edgar/data/1860782/000186078222000005/tsvt-20211231.htm,,
2U,TWOU,"2U, Inc. (TWOU)",0001459417,https://www.sec.gov/Archives/edgar/data/1459417/000145941722000004/twou-20211231.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941721000003/twou-20201231.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000003/a2u201910-k.htm
3-D SYSTEMS,DDD,3D SYSTEMS CORP (DDD),0000910638,https://www.sec.gov/Archives/edgar/data/910638/000091063822000013/ddd-20211231.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063821000008/ddd-20201231.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063820000010/ddd-20191231.htm
3M COMPANY,MMM,3M CO (MMM),0000066740,https://www.sec.gov/Archives/edgar/data/66740/000006674022000010/mmm-20211231.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837021000737/mmm-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/mmm-20191231x10k62bf35.htm
4D MOLECULAR THERAPEUTICS,FDMT,"4D Molecular Therapeutics, Inc. (FDMT)",0001650648,https://www.sec.gov/Archives/edgar/data/1650648/000095017022004794/fdmt-20211231.htm,https://www.sec.gov/Archives/edgar/data/1650648/000156459021015502/fdmt-10k_20201231.htm,
5E ADVANCED MATERIALS INC,FEAM,"5E Advanced Materials, Inc. (FEAM)",0001888654,https://www.sec.gov/Archives/edgar/data/1888654/000119312522253257/d382761d10k.htm,,
8X8,EGHT,8X8 INC /DE/ (EGHT),0001023731,https://www.sec.gov/Archives/edgar/data/1023731/000102373122000087/eght-20220331.htm,https://www.sec.gov/Archives/edgar/data/1023731/000102373121000091/eght-20210331.htm,https://www.sec.gov/Archives/edgar/data/1023731/000102373120000049/a8x8331202010-k.htm
908 DEVICES,MASS,908 Devices Inc. (MASS),0001555279,https://www.sec.gov/Archives/edgar/data/1555279/000155837022003363/mass-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1555279/000110465921044397/tm2110439d1_10k.htm,
A K A BRANDS HOLDING,AKA,A.K.A. BRANDS HOLDING CORP. (AKA),0001865107,https://www.sec.gov/Archives/edgar/data/1865107/000186510722000033/aka-20211231.htm,,
A10 NETWORKS,ATEN,"A10 Networks, Inc. (ATEN)",0001580808,https://www.sec.gov/Archives/edgar/data/1580808/000158080822000053/aten-20211231.htm,https://www.sec.gov/Archives/edgar/data/1580808/000158080821000043/aten-20201231.htm,https://www.sec.gov/Archives/edgar/data/1580808/000158080820000014/a1231201910-k.htm
AADI BIOSCIENCE INC,AADI,"Aadi Bioscience, Inc. (AADI)",0001422142,https://www.sec.gov/Archives/edgar/data/1422142/000156459022010721/aadi-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1422142/000156459021012252/arpo-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1422142/000156459020011174/arpo-10k_20191231.htm
AAON INC,AAON,"AAON, INC. (AAON)",0000824142,https://www.sec.gov/Archives/edgar/data/824142/000082414222000034/aaon-20211231.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414221000030/aaon-20201231.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414220000025/aaon-20191231.htm
AAR CORP,AIR,AAR CORP (AIR),0000001750,https://www.sec.gov/Archives/edgar/data/1750/000110465922081498/air-20220531x10k.htm,https://www.sec.gov/Archives/edgar/data/1750/000110465921094125/air-20210531x10k.htm,https://www.sec.gov/Archives/edgar/data/1750/000110465920085310/air-20200531x10k.htm
ABBOTT LABORATORIES,ABT,ABBOTT LABORATORIES (ABT),0000001800,https://www.sec.gov/Archives/edgar/data/1800/000110465922025141/abt-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465921025751/abt-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/abt-20191231x10k59d41b.htm
ABBVIE INC,ABBV,AbbVie Inc. (ABBV),0001551152,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/abbv-20211231.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000008/abbv-20201231.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/abbv-20191231x10k.htm
ABCELLERA BIOLOGICS,ABCL,AbCellera Biologics Inc. (ABCL),0001703057,https://www.sec.gov/Archives/edgar/data/1703057/000156459022007077/abcl-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1703057/000156459021016713/abcl-10k_20201231.htm,
ABERCROMBIE & FITCH A,ANF,ABERCROMBIE & FITCH CO /DE/ (ANF),0001018840,https://www.sec.gov/Archives/edgar/data/1018840/000101884022000011/anf-20220129.htm,https://www.sec.gov/Archives/edgar/data/1018840/000101884021000023/anf-20210130.htm,https://www.sec.gov/Archives/edgar/data/1018840/000101884020000021/a201910-k.htm
ABIOMED INC,ABMD,ABIOMED INC,0000815094,https://www.sec.gov/Archives/edgar/data/815094/000095017022010402/abmd-20220331.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459021029314/abmd-10k_20210331.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459020026547/abmd-10k_20200331.htm
ABM INDUSTRIES INC,ABM,ABM INDUSTRIES INC /DE/ (ABM),0000771497,https://www.sec.gov/Archives/edgar/data/771497/000077149722000028/abm-20221031.htm,https://www.sec.gov/Archives/edgar/data/771497/000077149721000038/abm-20211031.htm,https://www.sec.gov/Archives/edgar/data/771497/000077149720000018/abm-20201031.htm
ABSCI,ABSI,Absci Corp (ABSI),0001672688,https://www.sec.gov/Archives/edgar/data/1672688/000162828022006925/absi-20211231.htm,,
ACADEMY SPORTS AND OUTDOORS,ASO,"Academy Sports & Outdoors, Inc. (ASO)",0001817358,https://www.sec.gov/Archives/edgar/data/1817358/000181735822000039/aso-20220129.htm,https://www.sec.gov/Archives/edgar/data/1817358/000181735821000059/aso-20210130.htm,
ACADIA HEALTHCARE,ACHC,"Acadia Healthcare Company, Inc. (ACHC)",0001520697,https://www.sec.gov/Archives/edgar/data/1520697/000156459022007930/achc-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1520697/000156459021009466/achc-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1520697/000156459020007769/achc-10k_20191231.htm
ACADIA PHARMACEUTICALS,ACAD,ACADIA PHARMACEUTICALS INC (ACAD),0001070494,https://www.sec.gov/Archives/edgar/data/1070494/000095017022002392/acad-20211231.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459021008372/acad-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459020006889/acad-10k_20191231.htm
ACADIA REALTY,AKR,ACADIA REALTY TRUST (AKR),0000899629,https://www.sec.gov/Archives/edgar/data/899629/000095017022002570/akr-20211231.htm,https://www.sec.gov/Archives/edgar/data/899629/000156459021007196/akr-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/899629/000156459020005641/akr-10k_20191231.htm
ACCEL ENTERTAINMENT (A),ACEL,"Accel Entertainment, Inc. (ACEL)",0001698991,https://www.sec.gov/Archives/edgar/data/1698991/000169899122000004/acel-20211231.htm,https://www.sec.gov/Archives/edgar/data/1698991/000169899121000005/acel-20201231.htm,https://www.sec.gov/Archives/edgar/data/1698991/000169899120000006/accel-20191231x10k.htm
ACCENTURE CL A,ACN,Accenture plc (ACN),0001467373,https://www.sec.gov/Archives/edgar/data/1467373/000146737322000295/acn-20220831.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737321000229/acn-20210831.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000376/acn-20200831.htm
ACCO BRANDS,ACCO,ACCO BRANDS Corp (ACCO),0000712034,https://www.sec.gov/Archives/edgar/data/712034/000071203422000009/abd-20211231.htm,https://www.sec.gov/Archives/edgar/data/712034/000071203421000015/abd-20201231.htm,https://www.sec.gov/Archives/edgar/data/712034/000071203420000013/acco-2019xq410k.htm
ACCOLADE,ACCD,"Accolade, Inc. (ACCD)",0001481646,https://www.sec.gov/Archives/edgar/data/1481646/000155837022006561/accd-20220228x10k.htm,https://www.sec.gov/Archives/edgar/data/1481646/000155837021006527/accd-20210228x10k.htm,
ACCRETIVE HEALTH,RCM,R1 RCM Inc. /DE (RCM),0001910851,,,
ACI WORLDWIDE,ACIW,"ACI WORLDWIDE, INC. (ACIW)",0000935036,https://www.sec.gov/Archives/edgar/data/935036/000093503622000010/aciw-20211231.htm,https://www.sec.gov/Archives/edgar/data/935036/000093503621000014/aciw-20201231.htm,https://www.sec.gov/Archives/edgar/data/935036/000093503620000009/aciw-20191231x10k.htm
ACLARIS THERAPEUTICS,ACRS,"Aclaris Therapeutics, Inc. (ACRS)",0001557746,https://www.sec.gov/Archives/edgar/data/1557746/000155837022001838/acrs-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837021001717/acrs-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837020001325/acrs-20191231x10k.htm
ACM RESEARCH,ACMR,"ACM Research, Inc. (ACMR)",0001680062,https://www.sec.gov/Archives/edgar/data/1680062/000114036122007348/brhc10034322_10k.htm,https://www.sec.gov/Archives/edgar/data/1680062/000114036121006683/brhc10020658_10k.htm,https://www.sec.gov/Archives/edgar/data/1680062/000114036120006743/form10k.htm
ACNB CORP.,ACNB,ACNB CORP (ACNB),0000715579,https://www.sec.gov/Archives/edgar/data/715579/000071557922000018/acnb-20211231.htm,https://www.sec.gov/Archives/edgar/data/715579/000071557921000012/acnb-20201231.htm,https://www.sec.gov/Archives/edgar/data/715579/000104746920001268/a2240882z10-k.htm
ACTIVISION BLIZZARD,ATVI,"Activision Blizzard, Inc. (ATVI)",0000718877,https://www.sec.gov/Archives/edgar/data/718877/000162828022003992/atvi-20211231.htm,https://www.sec.gov/Archives/edgar/data/718877/000162828021002828/atvi-20201231.htm,https://www.sec.gov/Archives/edgar/data/718877/000071887720000003/atvi-12312019x10xk.htm
ACUITY BRANDS INC,AYI,ACUITY BRANDS INC (AYI),0001144215,https://www.sec.gov/Archives/edgar/data/1144215/000114421522000097/ayi-20220831.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421521000097/ayi-20210831.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421520000125/ayi-20200831x10k.htm
ACUSHNET HOLDINGS,GOLF,Acushnet Holdings Corp. (GOLF),0001672013,https://www.sec.gov/Archives/edgar/data/1672013/000167201322000009/golf-20211231.htm,https://www.sec.gov/Archives/edgar/data/1672013/000167201321000013/golf-20201231.htm,https://www.sec.gov/Archives/edgar/data/1672013/000167201320000008/golf12311910-kdoc.htm
ACV AUCTIONS,ACVA,ACV Auctions Inc. (ACVA),0001637873,https://www.sec.gov/Archives/edgar/data/1637873/000095017022001792/acva-20211231.htm,,
ADAGIO THERAPEUTICS,ADGI,,,,,
ADAPTHEALTH,AHCO,AdaptHealth Corp. (AHCO),0001725255,https://www.sec.gov/Archives/edgar/data/1725255/000155837022002603/ahco-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1725255/000155837021003089/ahco-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1725255/000155837020002146/ahco-20191231x10k.htm
ADAPTIVE BIOTECHNOLOGIES,ADPT,Adaptive Biotechnologies Corp (ADPT),0001478320,https://www.sec.gov/Archives/edgar/data/1478320/000156459022005228/adpt-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1478320/000156459021008124/adpt-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1478320/000156459020006830/adpt-10k_20191231.htm
ADDUS HOMECARE,ADUS,Addus HomeCare Corp (ADUS),0001468328,https://www.sec.gov/Archives/edgar/data/1468328/000156459022007171/adus-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459021009604/adus-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459020038909/adus-10k_20191231.htm
ADICET BIO INC,ACET,"Adicet Bio, Inc. (ACET)",0001720580,https://www.sec.gov/Archives/edgar/data/1720580/000095017022003753/acet-20211231.htm,https://www.sec.gov/Archives/edgar/data/1720580/000156459021012664/acet-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1720580/000156459020010474/torc-10k_20191231.htm
ADIENT PLC,ADNT,Adient plc (ADNT),0001670541,https://www.sec.gov/Archives/edgar/data/1670541/000167054122000118/adnt-20220930.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054121000056/adnt-20200930.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054120000045/adnt-20190930.htm
ADMA BIOLOGICS INC,ADMA,"ADMA BIOLOGICS, INC. (ADMA)",0001368514,https://www.sec.gov/Archives/edgar/data/1368514/000114036122011030/brhc10035480_10k.htm,https://www.sec.gov/Archives/edgar/data/1368514/000119380521000411/adma_10k.htm,https://www.sec.gov/Archives/edgar/data/1368514/000119380520000348/e619435_10k-adma.htm
ADOBE,ADBE,ADOBE INC. (ADBE),0000796343,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/adbe-20211203.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/adbe-20201127.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm
ADT INC,ADT,ADT Inc. (ADT),0001703056,https://www.sec.gov/Archives/edgar/data/1703056/000170305622000042/adt-20211231.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305621000020/adt-20201231.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305620000013/adtinc10-k12x31x2019cl.htm
ADTALEM GLOBAL EDUCATION,ATGE,Adtalem Global Education Inc. (ATGE),0000730464,https://www.sec.gov/Archives/edgar/data/730464/000155837022013289/atge-20220630x10k.htm,https://www.sec.gov/Archives/edgar/data/730464/000155837021011957/atge-20210630x10k.htm,https://www.sec.gov/Archives/edgar/data/730464/000155837020010728/atge-20200630x10k.htm
ADTHEORENT HOLDING COMPANY INC,ADTH,"AdTheorent Holding Company, Inc. (ADTH, ADTHW)",0001838672,https://www.sec.gov/Archives/edgar/data/1838672/000095017022004082/adth-20211231.htm,,
ADTRAN INC,ADTN,"ADTRAN Holdings, Inc. (ADTN)",0000926282,https://www.sec.gov/Archives/edgar/data/926282/000095017022002054/adtn-20211231.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459021009423/adtn-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459020006425/adtn-10k_20191231.htm
ADVANCE AUTO PARTS,AAP,ADVANCE AUTO PARTS INC (AAP),0001158449,https://www.sec.gov/Archives/edgar/data/1158449/000115844922000037/aap-20220101.htm,https://www.sec.gov/Archives/edgar/data/1158449/000115844921000036/aap-20210102.htm,https://www.sec.gov/Archives/edgar/data/1158449/000115844920000035/aap10k12282019secreport.htm
ADVANCED DRAINAGE SYSTEMS,WMS,"ADVANCED DRAINAGE SYSTEMS, INC. (WMS)",0001604028,https://www.sec.gov/Archives/edgar/data/1604028/000160402822000025/wms-20220331.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459021030419/wms-10k_20210331.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459020027846/wms-10k_20200331.htm
ADVANCED ENERGY INDUSTRIES,AEIS,ADVANCED ENERGY INDUSTRIES INC (AEIS),0000927003,https://www.sec.gov/Archives/edgar/data/927003/000155837022003725/aeis-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/927003/000155837021001513/aeis-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/927003/000155837020001892/aeis-20191231x10k136eb2.htm
ADVANCED MICRO DEV,AMD,ADVANCED MICRO DEVICES INC (AMD),0000002488,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/amd-20201226.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm
ADVANSIX,ASIX,AdvanSix Inc. (ASIX),0001673985,https://www.sec.gov/Archives/edgar/data/1673985/000167398522000010/asix-20211231.htm,https://www.sec.gov/Archives/edgar/data/1673985/000167398521000011/asix-20201231.htm,https://www.sec.gov/Archives/edgar/data/1673985/000167398520000009/asix-20191231.htm
ADVANTAGE SOLUTIONS INC (A),ADV,"Advantage Solutions Inc. (ADV, ADVWW)",0001776661,https://www.sec.gov/Archives/edgar/data/1776661/000095017022002524/adv-20211231.htm,https://www.sec.gov/Archives/edgar/data/1776661/000119312521082812/d140331d10k.htm,https://www.sec.gov/Archives/edgar/data/1776661/000121390020007995/f10k2019_conyerspark2.htm
AECOM,ACM,AECOM (ACM),0000868857,https://www.sec.gov/Archives/edgar/data/868857/000110465922119637/acm-20220930x10k.htm,https://www.sec.gov/Archives/edgar/data/868857/000110465921140569/acm-20210930x10k.htm,https://www.sec.gov/Archives/edgar/data/868857/000110465920126988/acm-20200930x10k.htm
AEMETIS,AMTX,"AEMETIS, INC (AMTX)",0000738214,https://www.sec.gov/Archives/edgar/data/738214/000165495422002831/amts_10k.htm,https://www.sec.gov/Archives/edgar/data/738214/000165495421002764/amtx_10k.htm,https://www.sec.gov/Archives/edgar/data/738214/000165495420002532/amtx_10k2020.htm
AERIE PHARMACEUTICALS INC,AERI,AERIE PHARMACEUTICALS INC,0001337553,https://www.sec.gov/Archives/edgar/data/1337553/000133755322000013/aeri-20211231.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828021003345/aeri-20201231.htm,https://www.sec.gov/Archives/edgar/data/1337553/000162828020002027/aeri-1231201910xk.htm
AEROJET ROCKETDYNE HOLDINGS,AJRD,"AEROJET ROCKETDYNE HOLDINGS, INC. (AJRD)",0000040888,https://www.sec.gov/Archives/edgar/data/40888/000004088822000005/ajrd-20211231.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088821000006/ajrd-20201231.htm,https://www.sec.gov/Archives/edgar/data/40888/000004088820000003/ajrd201910-k.htm
AEROVATE THERAPEUTICS,AVTE,"Aerovate Therapeutics, Inc. (AVTE)",0001798749,https://www.sec.gov/Archives/edgar/data/1798749/000149315222008189/form10-k.htm,,
AEROVIRONMENT,AVAV,AeroVironment Inc (AVAV),0001368622,https://www.sec.gov/Archives/edgar/data/1368622/000155837022010392/avav-20220430x10k.htm,https://www.sec.gov/Archives/edgar/data/1368622/000155837021008684/avav-20210430x10k.htm,https://www.sec.gov/Archives/edgar/data/1368622/000155837020007720/avav-20200623x10k.htm
AERSALE CORPORATION,ASLE,AerSale Corp (ASLE),0001754170,https://www.sec.gov/Archives/edgar/data/1754170/000155837022003617/asle-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1754170/000110465921037098/tm211117d1_10k.htm,https://www.sec.gov/Archives/edgar/data/1754170/000110465920028012/tm205339d1_10k.htm
AES CORP.,AES,"AES CORP (AES, AESC)",0000874761,https://www.sec.gov/Archives/edgar/data/874761/000087476122000022/aes-20211231.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476121000015/aes-20201231.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476120000012/a2019form10-k.htm
AEVA TECHNOLOGIES INC,AEVA,"Aeva Technologies, Inc. (AEVA, AEVA-WT)",0001789029,https://www.sec.gov/Archives/edgar/data/1789029/000095017022002379/aeva-20211231.htm,https://www.sec.gov/Archives/edgar/data/1789029/000121390021014857/f10k2020_interprivateacq.htm,https://www.sec.gov/Archives/edgar/data/1789029/000121390020008023/f10k2019_interprivate.htm
AEYE INC,LIDR,"AEye, Inc. (LIDR, LIDRW)",0001818644,https://www.sec.gov/Archives/edgar/data/1818644/000181864422000008/lidr-20211231.htm,https://www.sec.gov/Archives/edgar/data/1818644/000121390021015416/f10k2020_cffinanceacq3.htm,
AFC GAMMA,AFCG,"AFC Gamma, Inc. (AFCG)",0001822523,https://www.sec.gov/Archives/edgar/data/1822523/000114036122008768/brhc10034929_10k.htm,,
AFFILIATED MANAGERS GROUP,AMG,"AFFILIATED MANAGERS GROUP, INC. (MGR, AMG, MGRD, MGRB, AATRL)",0001004434,https://www.sec.gov/Archives/edgar/data/1004434/000100443422000017/amg-20211231.htm,https://www.sec.gov/Archives/edgar/data/1004434/000100443421000014/amg-20201231.htm,https://www.sec.gov/Archives/edgar/data/1004434/000100443420000011/amg10-k12312019.htm
AFFIMED N.V.,AFMD,Affimed N.V. (AFMD),0001608390,,,
AFFIRM HOLDINGS,AFRM,"Affirm Holdings, Inc. (AFRM)",0001820953,https://www.sec.gov/Archives/edgar/data/1820953/000162828022023828/afrm-20220630.htm,https://www.sec.gov/Archives/edgar/data/1820953/000182095321000102/afrm-20210630.htm,
AFLAC,AFL,AFLAC INC (AFL),0000004977,https://www.sec.gov/Archives/edgar/data/4977/000000497722000058/afl-20211231.htm,https://www.sec.gov/Archives/edgar/data/4977/000000497721000047/afl-20201231.htm,https://www.sec.gov/Archives/edgar/data/4977/000000497720000044/afl12311910k.htm
AGCO CORP,AGCO,AGCO CORP /DE (AGCO),0000880266,https://www.sec.gov/Archives/edgar/data/880266/000088026622000006/agco-20211231.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026621000009/agco-20201231.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026620000006/a2019agco10-k.htm
AGENUS,AGEN,AGENUS INC (AGEN),0001098972,https://www.sec.gov/Archives/edgar/data/1098972/000156459022007867/agen-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459021013619/agen-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1098972/000156459020011221/agen-10k_20191231.htm
AGILENT TECHNOLOGIES,A,"AGILENT TECHNOLOGIES, INC. (A)",0001090872,https://www.sec.gov/Archives/edgar/data/1090872/000109087222000026/a-20221031.htm,https://www.sec.gov/Archives/edgar/data/1090872/000109087221000027/a-20211031.htm,https://www.sec.gov/Archives/edgar/data/1090872/000109087220000020/a-20201031.htm
AGILITI,AGTI,"AGILITI, INC. \DE (AGTI)",0001749704,https://www.sec.gov/Archives/edgar/data/1749704/000155837022003066/agti-20211231x10k.htm,,
AGILON HEALTH,AGL,"agilon health, inc. (AGL)",0001831097,https://www.sec.gov/Archives/edgar/data/1831097/000095017022002826/agl-20211231.htm,,
AGILYSYS,AGYS,AGILYSYS INC (AGYS),0000078749,https://www.sec.gov/Archives/edgar/data/78749/000095017022010512/agys-20220331.htm,https://www.sec.gov/Archives/edgar/data/78749/000156459021029319/agys-10k_20210331.htm,https://www.sec.gov/Archives/edgar/data/78749/000156459020026737/agys-10k_20200331.htm
AGIOS PHARMACEUTICALS,AGIO,"AGIOS PHARMACEUTICALS, INC. (AGIO)",0001439222,https://www.sec.gov/Archives/edgar/data/1439222/000143922222000024/agio-20211231.htm,https://www.sec.gov/Archives/edgar/data/1439222/000143922221000029/agio-20201231.htm,https://www.sec.gov/Archives/edgar/data/1439222/000143922220000014/agio-20191231.htm
AGNC INVESTMENT,AGNC,"AGNC Investment Corp. (AGNC, AGNCP, AGNCO, AGNCN, AGNCM, AGNCL)",0001423689,https://www.sec.gov/Archives/edgar/data/1423689/000142368922000014/agnc-20211231.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368921000011/agnc-20201231.htm,https://www.sec.gov/Archives/edgar/data/1423689/000142368920000019/agnc10k123119.htm
AGREE REALTY,ADC,"AGREE REALTY CORP (ADC, ADC-PA)",0000917251,https://www.sec.gov/Archives/edgar/data/917251/000155837022001606/adc-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/917251/000155837021001212/adc-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/917251/000155837020001080/adc-20191231x10k4f0b3a.htm
AIR LEASE,AL,"AIR LEASE CORP (AL, AL-PA)",0001487712,https://www.sec.gov/Archives/edgar/data/1487712/000162828022003016/al-20211231.htm,https://www.sec.gov/Archives/edgar/data/1487712/000155837021001372/al-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1487712/000155837020000836/al-20191231x10k1d2204.htm
AIR PRODUCTS & CHEMICALS INC,APD,"Air Products & Chemicals, Inc. (APD)",0000002969,https://www.sec.gov/Archives/edgar/data/2969/000000296922000054/apd-20220930.htm,https://www.sec.gov/Archives/edgar/data/2969/000000296921000055/apd-20210930.htm,https://www.sec.gov/Archives/edgar/data/2969/000000296920000049/apd-20200930.htm
AIR TRANSPORT SERVICES GROUP,ATSG,"Air Transport Services Group, Inc. (ATSG)",0000894081,https://www.sec.gov/Archives/edgar/data/894081/000089408122000034/atsg-20211231.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408121000045/atsg-20201231.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408120000039/a201910k.htm
AIRBNB,ABNB,"Airbnb, Inc. (ABNB)",0001559720,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/abnb-20211231.htm,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000010/airbnb-10k.htm,
AIRSCULPT TECHNOLOGIES,AIRS,"Airsculpt Technologies, Inc. (AIRS)",0001870940,https://www.sec.gov/Archives/edgar/data/1870940/000187094022000011/airs-20211231.htm,,
AKAMAI TECHNOLOGIES,AKAM,AKAMAI TECHNOLOGIES INC (AKAM),0001086222,https://www.sec.gov/Archives/edgar/data/1086222/000108622222000058/akam-20211231.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622221000075/akam-20201231.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622220000045/akam10k123119.htm
AKERO THERAPEUTICS,AKRO,"Akero Therapeutics, Inc. (AKRO)",0001744659,https://www.sec.gov/Archives/edgar/data/1744659/000155837022002052/akro-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1744659/000155837021003043/akro-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1744659/000155837020002798/akro-20191231x10k.htm
