company_name,company_ticker,entity_name,company_cik,2022,2021,2020
BORGWARNER,BWA,BORGWARNER INC (BWA),0000908255,https://www.sec.gov/Archives/edgar/data/908255/000090825522000009/bwa-20211231.htm,https://www.sec.gov/Archives/edgar/data/908255/000090825521000008/bwa-20201231.htm,https://www.sec.gov/Archives/edgar/data/908255/000090825520000014/a2019123110k.htm
BORR DRILLING,BORR,Borr Drilling Ltd (BORR),0001715497,,,
BOSTON BEER,SAM,BOSTON BEER CO INC (SAM),0000949870,https://www.sec.gov/Archives/edgar/data/949870/000095017022001616/sam-20211225.htm,https://www.sec.gov/Archives/edgar/data/949870/000156459021006397/sam-10k_20201226.htm,https://www.sec.gov/Archives/edgar/data/949870/000119312520041944/d860744d10k.htm
BOSTON OMAHA,BOC,BOSTON OMAHA Corp (BOC),0001494582,https://www.sec.gov/Archives/edgar/data/1494582/000143774922007410/bomn20211231_10k.htm,https://www.sec.gov/Archives/edgar/data/1494582/000143774921007457/bomn20201231_10k.htm,https://www.sec.gov/Archives/edgar/data/1494582/000143774920005153/bomn20191231_10k.htm
BOSTON PROPERTIES,BXP,BOSTON PROPERTIES INC (BXP),0001037540,https://www.sec.gov/Archives/edgar/data/1043121/000165642322000013/bxp-20211231.htm,https://www.sec.gov/Archives/edgar/data/1043121/000165642321000006/bxp-20201231.htm,https://www.sec.gov/Archives/edgar/data/1043121/000165642320000007/bxpandbplp201910-k.htm
BOSTON SCIENTIFIC CORP,BSX,"BOSTON SCIENTIFIC CORP (BSX, BSX-PA)",0000885725,https://www.sec.gov/Archives/edgar/data/885725/000088572522000006/bsx-20211231.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572521000008/bsx-20201231.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572520000012/a2019form10-k.htm
BOWLERO CORP (A),BOWL,Bowlero Corp. (BOWL),0001840572,https://www.sec.gov/Archives/edgar/data/1840572/000162828022024988/bowl-20220703.htm,,
BOX INC,BOX,BOX INC (BOX),0001372612,https://www.sec.gov/Archives/edgar/data/1372612/000095017022003913/box-20220131.htm,https://www.sec.gov/Archives/edgar/data/1372612/000156459021014377/box-10k_20210131.htm,https://www.sec.gov/Archives/edgar/data/1372612/000156459020011799/box-10k_20200131.htm
BOXED INC (A),BOXD,"Boxed, Inc. (BOXD, BOXDW, BOXD-WT)",0001828672,https://www.sec.gov/Archives/edgar/data/1828672/000182867222000026/boxd-20211231.htm,https://www.sec.gov/Archives/edgar/data/1828672/000110465921044469/tm2110509d1_10k.htm,
BOYD GAMING,BYD,BOYD GAMING CORP (BYD),0000906553,https://www.sec.gov/Archives/edgar/data/906553/000143774922004655/bgc20211231_10k.htm,https://www.sec.gov/Archives/edgar/data/906553/000143774921004478/bgc20201231b_10k.htm,https://www.sec.gov/Archives/edgar/data/906553/000143774920003765/bgc20190819_10k.htm
